AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR
0-19|0.4|0.5|0.5|Benign/Borderline|193|42339679|Male|Neuronal/glial, neuronal|2013
0-19|0.0|0.1|0.1|Malignant|23|42339679|Male|Neuronal/glial, neuronal|2013
0-19|0.4|0.5|0.4|Benign/Borderline|178|42351811|Male|Neuronal/glial, neuronal|2014
0-19|0.0|0.1|0.1|Malignant|31|42351811|Male|Neuronal/glial, neuronal|2014
0-19|0.5|0.6|0.5|Benign/Borderline|226|42425680|Male|Neuronal/glial, neuronal|2015
0-19|0.0|0.1|0.1|Malignant|26|42425680|Male|Neuronal/glial, neuronal|2015
0-19|0.5|0.6|0.5|Benign/Borderline|231|42534300|Male|Neuronal/glial, neuronal|2016
0-19|0.0|0.1|0.1|Malignant|26|42534300|Male|Neuronal/glial, neuronal|2016
0-19|0.5|0.6|0.6|Benign/Borderline|240|42605171|Male|Neuronal/glial, neuronal|2017
0-19|0.0|0.1|0.0|Malignant|17|42605171|Male|Neuronal/glial, neuronal|2017
0-19|0.4|0.6|0.5|Benign/Borderline|216|42616257|Male|Neuronal/glial, neuronal|2018
0-19|0.0|0.1|0.1|Malignant|22|42616257|Male|Neuronal/glial, neuronal|2018
0-19|0.5|0.5|0.5|Benign/Borderline|1024|211518041|Male|Neuronal/glial, neuronal|2018-2022
0-19|0.0|0.1|0.0|Malignant|100|211518041|Male|Neuronal/glial, neuronal|2018-2022
0-19|0.5|0.6|0.6|Benign/Borderline|239|42563170|Male|Neuronal/glial, neuronal|2019
0-19|0.0|0.1|0.1|Malignant|22|42563170|Male|Neuronal/glial, neuronal|2019
0-19|0.4|0.5|0.4|Benign/Borderline|179|42391466|Male|Neuronal/glial, neuronal|2020
0-19|0.0|0.1|0.0|Malignant|18|42391466|Male|Neuronal/glial, neuronal|2020
0-19|0.4|0.5|0.4|Benign/Borderline|186|42049566|Male|Neuronal/glial, neuronal|2021
0-19|0.0|0.1|0.0|Malignant|17|42049566|Male|Neuronal/glial, neuronal|2021
0-19|0.4|0.6|0.5|Benign/Borderline|204|41897582|Male|Neuronal/glial, neuronal|2022
0-19|0.0|0.1|0.1|Malignant|21|41897582|Male|Neuronal/glial, neuronal|2022
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Oligodendroglioma|2004
0-19|0.1|0.1|0.1|Malignant|38|41889233|Male|Oligodendroglioma|2004
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Oligodendroglioma|2005
0-19|0.0|0.1|0.1|Malignant|29|42006384|Male|Oligodendroglioma|2005
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Oligodendroglioma|2006
0-19|0.0|0.1|0.1|Malignant|29|42158997|Male|Oligodendroglioma|2006
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Oligodendroglioma|2007
0-19|0.0|0.1|0.1|Malignant|23|42367071|Male|Oligodendroglioma|2007
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Oligodendroglioma|2008
0-19|0.0|0.1|0.1|Malignant|31|42541971|Male|Oligodendroglioma|2008
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Oligodendroglioma|2009
0-19|0.0|0.1|0.1|Malignant|27|42609915|Male|Oligodendroglioma|2009
0-19|~|~|~|Benign/Borderline|~|42572643|Male|Oligodendroglioma|2010
0-19|0.0|0.1|0.1|Malignant|22|42572643|Male|Oligodendroglioma|2010
0-19|~|~|~|Benign/Borderline|~|42484916|Male|Oligodendroglioma|2011
0-19|0.0|0.1|0.0|Malignant|17|42484916|Male|Oligodendroglioma|2011
0-19|~|~|~|Benign/Borderline|~|42387849|Male|Oligodendroglioma|2012
0-19|0.0|0.1|0.1|Malignant|26|42387849|Male|Oligodendroglioma|2012
0-19|~|~|~|Benign/Borderline|~|42339679|Male|Oligodendroglioma|2013
0-19|0.0|0.1|0.0|Malignant|20|42339679|Male|Oligodendroglioma|2013
0-19|~|~|~|Benign/Borderline|~|42351811|Male|Oligodendroglioma|2014
0-19|0.0|0.1|0.0|Malignant|19|42351811|Male|Oligodendroglioma|2014
0-19|~|~|~|Benign/Borderline|~|42425680|Male|Oligodendroglioma|2015
0-19|0.0|0.1|0.0|Malignant|18|42425680|Male|Oligodendroglioma|2015
0-19|~|~|~|Benign/Borderline|~|42534300|Male|Oligodendroglioma|2016
0-19|0.0|0.1|0.0|Malignant|17|42534300|Male|Oligodendroglioma|2016
0-19|~|~|~|Benign/Borderline|~|42605171|Male|Oligodendroglioma|2017
0-19|~|~|~|Malignant|~|42605171|Male|Oligodendroglioma|2017
0-19|~|~|~|Benign/Borderline|~|42616257|Male|Oligodendroglioma|2018
0-19|~|~|~|Malignant|~|42616257|Male|Oligodendroglioma|2018
0-19|~|~|~|Benign/Borderline|~|211518041|Male|Oligodendroglioma|2018-2022
0-19|0.0|0.0|0.0|Malignant|46|211518041|Male|Oligodendroglioma|2018-2022
0-19|~|~|~|Benign/Borderline|~|42563170|Male|Oligodendroglioma|2019
0-19|~|~|~|Malignant|~|42563170|Male|Oligodendroglioma|2019
0-19|~|~|~|Benign/Borderline|~|42391466|Male|Oligodendroglioma|2020
0-19|~|~|~|Malignant|~|42391466|Male|Oligodendroglioma|2020
0-19|~|~|~|Benign/Borderline|~|42049566|Male|Oligodendroglioma|2021
0-19|~|~|~|Malignant|~|42049566|Male|Oligodendroglioma|2021
0-19|~|~|~|Benign/Borderline|~|41897582|Male|Oligodendroglioma|2022
0-19|~|~|~|Malignant|~|41897582|Male|Oligodendroglioma|2022
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Other mesenchymal|2004
0-19|~|~|~|Malignant|~|41889233|Male|Other mesenchymal|2004
0-19|0.0|0.1|0.1|Benign/Borderline|22|42006384|Male|Other mesenchymal|2005
0-19|~|~|~|Malignant|~|42006384|Male|Other mesenchymal|2005
0-19|0.0|0.1|0.0|Benign/Borderline|21|42158997|Male|Other mesenchymal|2006
0-19|~|~|~|Malignant|~|42158997|Male|Other mesenchymal|2006
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Other mesenchymal|2007
0-19|~|~|~|Malignant|~|42367071|Male|Other mesenchymal|2007
0-19|0.0|0.1|0.0|Benign/Borderline|21|42541971|Male|Other mesenchymal|2008
0-19|~|~|~|Malignant|~|42541971|Male|Other mesenchymal|2008
0-19|0.0|0.1|0.0|Benign/Borderline|20|42609915|Male|Other mesenchymal|2009
0-19|~|~|~|Malignant|~|42609915|Male|Other mesenchymal|2009
0-19|0.0|0.1|0.1|Benign/Borderline|27|42572643|Male|Other mesenchymal|2010
0-19|~|~|~|Malignant|~|42572643|Male|Other mesenchymal|2010
0-19|0.1|0.1|0.1|Benign/Borderline|36|42484916|Male|Other mesenchymal|2011
0-19|~|~|~|Malignant|~|42484916|Male|Other mesenchymal|2011
0-19|0.1|0.1|0.1|Benign/Borderline|46|42387849|Male|Other mesenchymal|2012
0-19|~|~|~|Malignant|~|42387849|Male|Other mesenchymal|2012
0-19|0.1|0.1|0.1|Benign/Borderline|36|42339679|Male|Other mesenchymal|2013
0-19|~|~|~|Malignant|~|42339679|Male|Other mesenchymal|2013
0-19|0.1|0.1|0.1|Benign/Borderline|36|42351811|Male|Other mesenchymal|2014
0-19|~|~|~|Malignant|~|42351811|Male|Other mesenchymal|2014
0-19|0.1|0.1|0.1|Benign/Borderline|36|42425680|Male|Other mesenchymal|2015
0-19|~|~|~|Malignant|~|42425680|Male|Other mesenchymal|2015
0-19|0.1|0.2|0.1|Benign/Borderline|51|42534300|Male|Other mesenchymal|2016
0-19|~|~|~|Malignant|~|42534300|Male|Other mesenchymal|2016
0-19|0.1|0.2|0.1|Benign/Borderline|49|42605171|Male|Other mesenchymal|2017
0-19|~|~|~|Malignant|~|42605171|Male|Other mesenchymal|2017
0-19|0.1|0.2|0.1|Benign/Borderline|52|42616257|Male|Other mesenchymal|2018
0-19|~|~|~|Malignant|~|42616257|Male|Other mesenchymal|2018
0-19|0.1|0.1|0.1|Benign/Borderline|199|211518041|Male|Other mesenchymal|2018-2022
0-19|0.0|0.0|0.0|Malignant|51|211518041|Male|Other mesenchymal|2018-2022
0-19|0.0|0.1|0.1|Benign/Borderline|28|42563170|Male|Other mesenchymal|2019
0-19|~|~|~|Malignant|~|42563170|Male|Other mesenchymal|2019
0-19|0.0|0.1|0.1|Benign/Borderline|25|42391466|Male|Other mesenchymal|2020
0-19|0.0|0.1|0.0|Malignant|16|42391466|Male|Other mesenchymal|2020
0-19|0.1|0.1|0.1|Benign/Borderline|45|42049566|Male|Other mesenchymal|2021
0-19|~|~|~|Malignant|~|42049566|Male|Other mesenchymal|2021
0-19|0.1|0.2|0.1|Benign/Borderline|49|41897582|Male|Other mesenchymal|2022
0-19|~|~|~|Malignant|~|41897582|Male|Other mesenchymal|2022
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Pilocytic astrocytoma|2004
0-19|0.8|1.0|0.9|Malignant|371|41889233|Male|Pilocytic astrocytoma|2004
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Pilocytic astrocytoma|2005
0-19|0.8|0.9|0.9|Malignant|355|42006384|Male|Pilocytic astrocytoma|2005
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Pilocytic astrocytoma|2006
0-19|0.8|0.9|0.9|Malignant|357|42158997|Male|Pilocytic astrocytoma|2006
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Pilocytic astrocytoma|2007
0-19|0.8|0.9|0.8|Malignant|353|42367071|Male|Pilocytic astrocytoma|2007
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Pilocytic astrocytoma|2008
0-19|0.9|1.0|1.0|Malignant|401|42541971|Male|Pilocytic astrocytoma|2008
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Pilocytic astrocytoma|2009
0-19|0.8|1.0|0.9|Malignant|371|42609915|Male|Pilocytic astrocytoma|2009
0-19|~|~|~|Benign/Borderline|~|42572643|Male|Pilocytic astrocytoma|2010
0-19|0.8|1.0|0.9|Malignant|386|42572643|Male|Pilocytic astrocytoma|2010
0-19|~|~|~|Benign/Borderline|~|42484916|Male|Pilocytic astrocytoma|2011
0-19|0.9|1.1|1.0|Malignant|411|42484916|Male|Pilocytic astrocytoma|2011
0-19|~|~|~|Benign/Borderline|~|42387849|Male|Pilocytic astrocytoma|2012
0-19|0.9|1.1|1.0|Malignant|434|42387849|Male|Pilocytic astrocytoma|2012
0-19|~|~|~|Benign/Borderline|~|42339679|Male|Pilocytic astrocytoma|2013
0-19|0.9|1.1|1.0|Malignant|434|42339679|Male|Pilocytic astrocytoma|2013
0-19|~|~|~|Benign/Borderline|~|42351811|Male|Pilocytic astrocytoma|2014
0-19|0.8|1.0|0.9|Malignant|385|42351811|Male|Pilocytic astrocytoma|2014
0-19|~|~|~|Benign/Borderline|~|42425680|Male|Pilocytic astrocytoma|2015
0-19|0.8|1.0|0.9|Malignant|386|42425680|Male|Pilocytic astrocytoma|2015
0-19|~|~|~|Benign/Borderline|~|42534300|Male|Pilocytic astrocytoma|2016
0-19|0.8|1.0|0.9|Malignant|387|42534300|Male|Pilocytic astrocytoma|2016
0-19|~|~|~|Benign/Borderline|~|42605171|Male|Pilocytic astrocytoma|2017
0-19|1.0|1.2|1.1|Malignant|452|42605171|Male|Pilocytic astrocytoma|2017
0-19|0.1|0.2|0.2|Benign/Borderline|78|42616257|Male|Pilocytic astrocytoma|2018
0-19|0.7|0.9|0.8|Malignant|355|42616257|Male|Pilocytic astrocytoma|2018
0-19|0.2|0.2|0.2|Benign/Borderline|380|211518041|Male|Pilocytic astrocytoma|2018-2022
0-19|0.8|0.9|0.8|Malignant|1747|211518041|Male|Pilocytic astrocytoma|2018-2022
0-19|0.2|0.3|0.2|Benign/Borderline|85|42563170|Male|Pilocytic astrocytoma|2019
0-19|0.7|0.9|0.8|Malignant|348|42563170|Male|Pilocytic astrocytoma|2019
0-19|0.1|0.2|0.2|Benign/Borderline|69|42391466|Male|Pilocytic astrocytoma|2020
0-19|0.8|0.9|0.9|Malignant|362|42391466|Male|Pilocytic astrocytoma|2020
0-19|0.1|0.2|0.2|Benign/Borderline|67|42049566|Male|Pilocytic astrocytoma|2021
0-19|0.8|1.0|0.9|Malignant|362|42049566|Male|Pilocytic astrocytoma|2021
0-19|0.2|0.2|0.2|Benign/Borderline|81|41897582|Male|Pilocytic astrocytoma|2022
0-19|0.7|0.9|0.8|Malignant|320|41897582|Male|Pilocytic astrocytoma|2022
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Pineal parenchymal|2004
0-19|0.0|0.1|0.0|Malignant|19|41889233|Male|Pineal parenchymal|2004
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Pineal parenchymal|2005
0-19|~|~|~|Malignant|~|42006384|Male|Pineal parenchymal|2005
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Pineal parenchymal|2006
0-19|~|~|~|Malignant|~|42158997|Male|Pineal parenchymal|2006
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Pineal parenchymal|2007
0-19|0.0|0.1|0.0|Malignant|18|42367071|Male|Pineal parenchymal|2007
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Pineal parenchymal|2008
0-19|~|~|~|Malignant|~|42541971|Male|Pineal parenchymal|2008
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Pineal parenchymal|2009
0-19|~|~|~|Malignant|~|42609915|Male|Pineal parenchymal|2009
0-19|~|~|~|Benign/Borderline|~|42572643|Male|Pineal parenchymal|2010
0-19|~|~|~|Malignant|~|42572643|Male|Pineal parenchymal|2010
0-19|~|~|~|Benign/Borderline|~|42484916|Male|Pineal parenchymal|2011
0-19|0.0|0.1|0.0|Malignant|20|42484916|Male|Pineal parenchymal|2011
0-19|~|~|~|Benign/Borderline|~|42387849|Male|Pineal parenchymal|2012
0-19|0.0|0.1|0.0|Malignant|19|42387849|Male|Pineal parenchymal|2012
0-19|~|~|~|Benign/Borderline|~|42339679|Male|Pineal parenchymal|2013
0-19|0.0|0.1|0.0|Malignant|17|42339679|Male|Pineal parenchymal|2013
0-19|~|~|~|Benign/Borderline|~|42351811|Male|Pineal parenchymal|2014
0-19|0.0|0.1|0.1|Malignant|23|42351811|Male|Pineal parenchymal|2014
0-19|~|~|~|Benign/Borderline|~|42425680|Male|Pineal parenchymal|2015
0-19|0.0|0.1|0.0|Malignant|20|42425680|Male|Pineal parenchymal|2015
0-19|~|~|~|Benign/Borderline|~|42534300|Male|Pineal parenchymal|2016
0-19|0.0|0.1|0.1|Malignant|25|42534300|Male|Pineal parenchymal|2016
0-19|~|~|~|Benign/Borderline|~|42605171|Male|Pineal parenchymal|2017
0-19|~|~|~|Malignant|~|42605171|Male|Pineal parenchymal|2017
0-19|~|~|~|Benign/Borderline|~|42616257|Male|Pineal parenchymal|2018
0-19|~|~|~|Malignant|~|42616257|Male|Pineal parenchymal|2018
0-19|~|~|~|Benign/Borderline|~|211518041|Male|Pineal parenchymal|2018-2022
0-19|0.0|0.0|0.0|Malignant|83|211518041|Male|Pineal parenchymal|2018-2022
0-19|~|~|~|Benign/Borderline|~|42563170|Male|Pineal parenchymal|2019
0-19|0.0|0.1|0.0|Malignant|16|42563170|Male|Pineal parenchymal|2019
0-19|~|~|~|Benign/Borderline|~|42391466|Male|Pineal parenchymal|2020
0-19|0.0|0.1|0.0|Malignant|20|42391466|Male|Pineal parenchymal|2020
0-19|~|~|~|Benign/Borderline|~|42049566|Male|Pineal parenchymal|2021
0-19|~|~|~|Malignant|~|42049566|Male|Pineal parenchymal|2021
0-19|~|~|~|Benign/Borderline|~|41897582|Male|Pineal parenchymal|2022
0-19|0.0|0.1|0.0|Malignant|18|41897582|Male|Pineal parenchymal|2022
0-19|0.2|0.2|0.2|Benign/Borderline|86|41889233|Male|Pituitary|2004
0-19|~|~|~|Malignant|~|41889233|Male|Pituitary|2004
0-19|0.2|0.4|0.3|Benign/Borderline|127|42006384|Male|Pituitary|2005
0-19|~|~|~|Malignant|~|42006384|Male|Pituitary|2005
0-19|0.2|0.3|0.2|Benign/Borderline|103|42158997|Male|Pituitary|2006
0-19|~|~|~|Malignant|~|42158997|Male|Pituitary|2006
0-19|0.2|0.3|0.3|Benign/Borderline|116|42367071|Male|Pituitary|2007
0-19|~|~|~|Malignant|~|42367071|Male|Pituitary|2007
0-19|0.3|0.4|0.3|Benign/Borderline|139|42541971|Male|Pituitary|2008
0-19|~|~|~|Malignant|~|42541971|Male|Pituitary|2008
0-19|0.3|0.4|0.4|Benign/Borderline|161|42609915|Male|Pituitary|2009
0-19|~|~|~|Malignant|~|42609915|Male|Pituitary|2009
0-19|0.3|0.4|0.3|Benign/Borderline|145|42572643|Male|Pituitary|2010
0-19|~|~|~|Malignant|~|42572643|Male|Pituitary|2010
0-19|0.3|0.4|0.4|Benign/Borderline|154|42484916|Male|Pituitary|2011
0-19|~|~|~|Malignant|~|42484916|Male|Pituitary|2011
0-19|0.4|0.5|0.4|Benign/Borderline|183|42387849|Male|Pituitary|2012
0-19|~|~|~|Malignant|~|42387849|Male|Pituitary|2012
0-19|0.4|0.5|0.4|Benign/Borderline|186|42339679|Male|Pituitary|2013
0-19|~|~|~|Malignant|~|42339679|Male|Pituitary|2013
0-19|0.4|0.6|0.5|Benign/Borderline|206|42351811|Male|Pituitary|2014
0-19|~|~|~|Malignant|~|42351811|Male|Pituitary|2014
0-19|0.4|0.5|0.4|Benign/Borderline|178|42425680|Male|Pituitary|2015
0-19|~|~|~|Malignant|~|42425680|Male|Pituitary|2015
0-19|0.4|0.6|0.5|Benign/Borderline|212|42534300|Male|Pituitary|2016
0-19|~|~|~|Malignant|~|42534300|Male|Pituitary|2016
0-19|0.5|0.6|0.5|Benign/Borderline|235|42605171|Male|Pituitary|2017
0-19|~|~|~|Malignant|~|42605171|Male|Pituitary|2017
0-19|0.4|0.6|0.5|Benign/Borderline|211|42616257|Male|Pituitary|2018
0-19|~|~|~|Malignant|~|42616257|Male|Pituitary|2018
0-19|0.4|0.5|0.5|Benign/Borderline|989|211518041|Male|Pituitary|2018-2022
0-19|~|~|~|Malignant|~|211518041|Male|Pituitary|2018-2022
0-19|0.4|0.6|0.5|Benign/Borderline|215|42563170|Male|Pituitary|2019
0-19|~|~|~|Malignant|~|42563170|Male|Pituitary|2019
0-19|0.4|0.5|0.5|Benign/Borderline|200|42391466|Male|Pituitary|2020
0-19|~|~|~|Malignant|~|42391466|Male|Pituitary|2020
0-19|0.4|0.5|0.4|Benign/Borderline|187|42049566|Male|Pituitary|2021
0-19|~|~|~|Malignant|~|42049566|Male|Pituitary|2021
0-19|0.3|0.5|0.4|Benign/Borderline|176|41897582|Male|Pituitary|2022
0-19|~|~|~|Malignant|~|41897582|Male|Pituitary|2022
0-19|1.5|1.8|1.7|Benign/Borderline|698|41889233|Male|Total|2004
0-19|3.4|3.8|3.6|Malignant|1504|41889233|Male|Total|2004
0-19|1.8|2.0|1.9|Benign/Borderline|799|42006384|Male|Total|2005
0-19|3.2|3.6|3.4|Malignant|1429|42006384|Male|Total|2005
0-19|1.8|2.1|2.0|Benign/Borderline|832|42158997|Male|Total|2006
0-19|3.4|3.8|3.6|Malignant|1509|42158997|Male|Total|2006
0-19|1.9|2.2|2.0|Benign/Borderline|868|42367071|Male|Total|2007
0-19|3.4|3.8|3.6|Malignant|1528|42367071|Male|Total|2007
0-19|1.9|2.2|2.1|Benign/Borderline|891|42541971|Male|Total|2008
0-19|3.6|4.0|3.8|Malignant|1606|42541971|Male|Total|2008
0-19|2.1|2.4|2.2|Benign/Borderline|963|42609915|Male|Total|2009
0-19|3.5|3.9|3.7|Malignant|1564|42609915|Male|Total|2009
0-19|2.0|2.3|2.2|Benign/Borderline|929|42572643|Male|Total|2010
0-19|3.6|4.0|3.8|Malignant|1615|42572643|Male|Total|2010
0-19|2.2|2.5|2.3|Benign/Borderline|986|42484916|Male|Total|2011
0-19|3.6|4.0|3.8|Malignant|1611|42484916|Male|Total|2011
0-19|2.3|2.6|2.4|Benign/Borderline|1038|42387849|Male|Total|2012
0-19|3.7|4.1|3.9|Malignant|1637|42387849|Male|Total|2012
0-19|2.3|2.6|2.4|Benign/Borderline|1033|42339679|Male|Total|2013
0-19|3.6|4.0|3.8|Malignant|1606|42339679|Male|Total|2013
0-19|2.3|2.6|2.5|Benign/Borderline|1054|42351811|Male|Total|2014
0-19|3.5|3.9|3.7|Malignant|1573|42351811|Male|Total|2014
0-19|2.3|2.6|2.4|Benign/Borderline|1037|42425680|Male|Total|2015
0-19|3.6|4.0|3.8|Malignant|1614|42425680|Male|Total|2015
0-19|2.6|2.9|2.7|Benign/Borderline|1155|42534300|Male|Total|2016
0-19|3.5|3.9|3.7|Malignant|1578|42534300|Male|Total|2016
0-19|2.5|2.8|2.6|Benign/Borderline|1114|42605171|Male|Total|2017
0-19|3.8|4.2|4.0|Malignant|1690|42605171|Male|Total|2017
0-19|2.6|2.9|2.7|Benign/Borderline|1168|42616257|Male|Total|2018
0-19|2.9|3.3|3.1|Malignant|1311|42616257|Male|Total|2018
0-19|2.3|2.5|2.4|Benign/Borderline|5094|211518041|Male|Total|2018-2022
0-19|2.9|3.0|3.0|Malignant|6238|211518041|Male|Total|2018-2022
0-19|2.4|2.7|2.5|Benign/Borderline|1084|42563170|Male|Total|2019
0-19|2.9|3.2|3.0|Malignant|1280|42563170|Male|Total|2019
0-19|2.0|2.3|2.1|Benign/Borderline|903|42391466|Male|Total|2020
0-19|2.8|3.1|3.0|Malignant|1254|42391466|Male|Total|2020
0-19|2.1|2.4|2.3|Benign/Borderline|961|42049566|Male|Total|2021
0-19|2.8|3.2|3.0|Malignant|1254|42049566|Male|Total|2021
0-19|2.2|2.5|2.3|Benign/Borderline|978|41897582|Male|Total|2022
0-19|2.6|2.9|2.7|Malignant|1139|41897582|Male|Total|2022
0-19|0.3|0.4|0.3|Benign/Borderline|127|41889233|Male|Tumors of Cranial and Spinal Nerves|2004
0-19|~|~|~|Malignant|~|41889233|Male|Tumors of Cranial and Spinal Nerves|2004
0-19|0.2|0.4|0.3|Benign/Borderline|124|42006384|Male|Tumors of Cranial and Spinal Nerves|2005
0-19|~|~|~|Malignant|~|42006384|Male|Tumors of Cranial and Spinal Nerves|2005
0-19|0.4|0.5|0.4|Benign/Borderline|176|42158997|Male|Tumors of Cranial and Spinal Nerves|2006
0-19|~|~|~|Malignant|~|42158997|Male|Tumors of Cranial and Spinal Nerves|2006
0-19|0.3|0.4|0.4|Benign/Borderline|164|42367071|Male|Tumors of Cranial and Spinal Nerves|2007
0-19|~|~|~|Malignant|~|42367071|Male|Tumors of Cranial and Spinal Nerves|2007
0-19|0.3|0.4|0.4|Benign/Borderline|155|42541971|Male|Tumors of Cranial and Spinal Nerves|2008
0-19|~|~|~|Malignant|~|42541971|Male|Tumors of Cranial and Spinal Nerves|2008
0-19|0.3|0.4|0.4|Benign/Borderline|157|42609915|Male|Tumors of Cranial and Spinal Nerves|2009
0-19|~|~|~|Malignant|~|42609915|Male|Tumors of Cranial and Spinal Nerves|2009
0-19|0.3|0.4|0.3|Benign/Borderline|145|42572643|Male|Tumors of Cranial and Spinal Nerves|2010
0-19|~|~|~|Malignant|~|42572643|Male|Tumors of Cranial and Spinal Nerves|2010
0-19|0.3|0.4|0.4|Benign/Borderline|159|42484916|Male|Tumors of Cranial and Spinal Nerves|2011
0-19|~|~|~|Malignant|~|42484916|Male|Tumors of Cranial and Spinal Nerves|2011
0-19|0.3|0.4|0.4|Benign/Borderline|159|42387849|Male|Tumors of Cranial and Spinal Nerves|2012
0-19|~|~|~|Malignant|~|42387849|Male|Tumors of Cranial and Spinal Nerves|2012
0-19|0.3|0.5|0.4|Benign/Borderline|167|42339679|Male|Tumors of Cranial and Spinal Nerves|2013
0-19|~|~|~|Malignant|~|42339679|Male|Tumors of Cranial and Spinal Nerves|2013
0-19|0.3|0.4|0.4|Benign/Borderline|156|42351811|Male|Tumors of Cranial and Spinal Nerves|2014
0-19|~|~|~|Malignant|~|42351811|Male|Tumors of Cranial and Spinal Nerves|2014
0-19|0.3|0.4|0.4|Benign/Borderline|157|42425680|Male|Tumors of Cranial and Spinal Nerves|2015
0-19|~|~|~|Malignant|~|42425680|Male|Tumors of Cranial and Spinal Nerves|2015
0-19|0.4|0.5|0.4|Benign/Borderline|186|42534300|Male|Tumors of Cranial and Spinal Nerves|2016
0-19|~|~|~|Malignant|~|42534300|Male|Tumors of Cranial and Spinal Nerves|2016
0-19|0.2|0.3|0.3|Benign/Borderline|120|42605171|Male|Tumors of Cranial and Spinal Nerves|2017
0-19|~|~|~|Malignant|~|42605171|Male|Tumors of Cranial and Spinal Nerves|2017
0-19|0.2|0.3|0.2|Benign/Borderline|93|42616257|Male|Tumors of Cranial and Spinal Nerves|2018
0-19|~|~|~|Malignant|~|42616257|Male|Tumors of Cranial and Spinal Nerves|2018
0-19|0.2|0.2|0.2|Benign/Borderline|400|211518041|Male|Tumors of Cranial and Spinal Nerves|2018-2022
0-19|~|~|~|Malignant|~|211518041|Male|Tumors of Cranial and Spinal Nerves|2018-2022
0-19|0.2|0.3|0.2|Benign/Borderline|101|42563170|Male|Tumors of Cranial and Spinal Nerves|2019
0-19|~|~|~|Malignant|~|42563170|Male|Tumors of Cranial and Spinal Nerves|2019
0-19|0.1|0.2|0.2|Benign/Borderline|69|42391466|Male|Tumors of Cranial and Spinal Nerves|2020
0-19|~|~|~|Malignant|~|42391466|Male|Tumors of Cranial and Spinal Nerves|2020
0-19|0.1|0.2|0.2|Benign/Borderline|68|42049566|Male|Tumors of Cranial and Spinal Nerves|2021
0-19|~|~|~|Malignant|~|42049566|Male|Tumors of Cranial and Spinal Nerves|2021
0-19|0.1|0.2|0.2|Benign/Borderline|69|41897582|Male|Tumors of Cranial and Spinal Nerves|2022
0-19|~|~|~|Malignant|~|41897582|Male|Tumors of Cranial and Spinal Nerves|2022
0-19|0.5|0.6|0.6|Benign/Borderline|237|41889233|Male|Tumors of Neuroepthelial Tissue|2004
0-19|3.1|3.4|3.3|Malignant|1361|41889233|Male|Tumors of Neuroepthelial Tissue|2004
0-19|0.5|0.7|0.6|Benign/Borderline|263|42006384|Male|Tumors of Neuroepthelial Tissue|2005
0-19|2.9|3.3|3.1|Malignant|1296|42006384|Male|Tumors of Neuroepthelial Tissue|2005
0-19|0.5|0.7|0.6|Benign/Borderline|262|42158997|Male|Tumors of Neuroepthelial Tissue|2006
0-19|3.1|3.4|3.2|Malignant|1362|42158997|Male|Tumors of Neuroepthelial Tissue|2006
0-19|0.6|0.7|0.6|Benign/Borderline|272|42367071|Male|Tumors of Neuroepthelial Tissue|2007
0-19|3.1|3.5|3.3|Malignant|1384|42367071|Male|Tumors of Neuroepthelial Tissue|2007
0-19|0.6|0.8|0.7|Benign/Borderline|289|42541971|Male|Tumors of Neuroepthelial Tissue|2008
0-19|3.2|3.6|3.4|Malignant|1443|42541971|Male|Tumors of Neuroepthelial Tissue|2008
0-19|0.6|0.7|0.7|Benign/Borderline|278|42609915|Male|Tumors of Neuroepthelial Tissue|2009
0-19|3.2|3.5|3.3|Malignant|1420|42609915|Male|Tumors of Neuroepthelial Tissue|2009
0-19|0.6|0.8|0.7|Benign/Borderline|296|42572643|Male|Tumors of Neuroepthelial Tissue|2010
0-19|3.3|3.6|3.4|Malignant|1459|42572643|Male|Tumors of Neuroepthelial Tissue|2010
0-19|0.7|0.8|0.7|Benign/Borderline|317|42484916|Male|Tumors of Neuroepthelial Tissue|2011
0-19|3.3|3.7|3.5|Malignant|1473|42484916|Male|Tumors of Neuroepthelial Tissue|2011
0-19|0.7|0.9|0.8|Benign/Borderline|330|42387849|Male|Tumors of Neuroepthelial Tissue|2012
