AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR
~|~|~|~|VIIIb Chondrosarcomas|60907384|0-14|All Races|Male and Female|2008
2.1|2.9|2.4|148|VIIIc Ewing tumor and related sarcomas of bone|60907384|0-14|All Races|Male and Female|2008
~|~|~|~|VIIId Other specified malignant bone tumors|60907384|0-14|All Races|Male and Female|2008
~|~|~|~|VIIIe Unspecified malignant bone tumors|60907384|0-14|All Races|Male and Female|2008
2.0|2.8|2.4|150|VIIa Hepatoblastoma and mesenchymal tumors of liver|60907384|0-14|All Races|Male and Female|2008
0.3|0.6|0.4|24|VIIb Hepatic carcinomas|60907384|0-14|All Races|Male and Female|2008
~|~|~|~|VIIc Unspecified malignant hepatic tumors|60907384|0-14|All Races|Male and Female|2008
7.8|9.3|8.6|531|VIa Nephroblastoma and other non-epithelial renal tumors|60907384|0-14|All Races|Male and Female|2008
0.2|0.6|0.4|23|VIb Renal carcinomas|60907384|0-14|All Races|Male and Female|2008
~|~|~|~|VIc Unspecified malignant renal tumors|60907384|0-14|All Races|Male and Female|2008
4.7|5.9|5.3|326|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|60907384|0-14|All Races|Male and Female|2008
6.5|7.9|7.2|436|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|60907384|0-14|All Races|Male and Female|2008
0.4|0.8|0.6|38|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|60907384|0-14|All Races|Male and Female|2008
0.2|0.6|0.4|24|XIIa Other specified malignant tumors|60907384|0-14|All Races|Male and Female|2008
~|~|~|~|XIIb Other unspecified malignant tumors|60907384|0-14|All Races|Male and Female|2008
0.1|0.4|0.3|16|XIa Adrenocortical carcinomas|60907384|0-14|All Races|Male and Female|2008
2.2|3.1|2.6|159|XIb Thyroid carcinomas|60907384|0-14|All Races|Male and Female|2008
0.2|0.4|0.3|17|XIc Nasopharyngeal carcinomas|60907384|0-14|All Races|Male and Female|2008
1.9|2.6|2.2|136|XId Malignant melanomas|60907384|0-14|All Races|Male and Female|2008
~|~|~|~|XIe Skin carcinomas|60907384|0-14|All Races|Male and Female|2008
1.4|2.1|1.7|105|XIf Other and unspecified carcinomas|60907384|0-14|All Races|Male and Female|2008
1.1|1.7|1.4|82|Xa Intracranial and intraspinal germ cell tumors|60907384|0-14|All Races|Male and Female|2008
1.1|1.7|1.4|90|Xb Malignant extracranial and extragonadal germ cell tumors|60907384|0-14|All Races|Male and Female|2008
1.9|2.7|2.3|141|Xc Malignant gonadal germ cell tumors|60907384|0-14|All Races|Male and Female|2008
~|~|~|~|Xd Gonadal carcinomas|60907384|0-14|All Races|Male and Female|2008
~|~|~|~|Xe Other and unspecified malignant gonadal tumors|60907384|0-14|All Races|Male and Female|2008
160.4|166.8|163.6|10051|All ICCC Groups Combined|61087581|0-14|All Races|Male and Female|2009
50.8|54.4|52.6|3238|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|61087581|0-14|All Races|Male and Female|2009
15.9|17.9|16.9|1028|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|61087581|0-14|All Races|Male and Female|2009
34.3|37.3|35.8|2193|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|61087581|0-14|All Races|Male and Female|2009
2.1|2.9|2.5|155|IIIa Ependymomas and choroid plexus tumor|61087581|0-14|All Races|Male and Female|2009
16.9|19.0|17.9|1096|IIIb Astrocytomas|61087581|0-14|All Races|Male and Female|2009
7.0|8.4|7.6|469|IIIc Intracranial and intraspinal embryonal tumors|61087581|0-14|All Races|Male and Female|2009
6.1|7.4|6.7|410|IIId Other gliomas|61087581|0-14|All Races|Male and Female|2009
0.4|0.8|0.6|34|IIIe Other specified intracranial and intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009
0.3|0.7|0.5|29|IIIf Unspecified intracranial and intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009
5.2|6.4|5.8|350|IIa Hodgkin lymphomas|61087581|0-14|All Races|Male and Female|2009
6.2|7.6|6.9|419|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|61087581|0-14|All Races|Male and Female|2009
2.0|2.8|2.4|143|IIc Burkitt lymphoma|61087581|0-14|All Races|Male and Female|2009
1.4|2.0|1.7|104|IId Miscellaneous lymphoreticular neoplasms|61087581|0-14|All Races|Male and Female|2009
~|~|~|~|IIe Unspecified lymphomas|61087581|0-14|All Races|Male and Female|2009
10.0|11.7|10.8|674|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|61087581|0-14|All Races|Male and Female|2009
9.9|11.5|10.6|663|IVa Neuroblastoma and ganglioneuroblastoma|61087581|0-14|All Races|Male and Female|2009
~|~|~|~|IVb Other peripheral nervous cell tumors|61087581|0-14|All Races|Male and Female|2009
9.8|11.4|10.6|648|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|61087581|0-14|All Races|Male and Female|2009
3.9|5.0|4.4|271|IXa Rhabdomyosarcomas|61087581|0-14|All Races|Male and Female|2009
1.0|1.6|1.3|79|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|61087581|0-14|All Races|Male and Female|2009
~|~|~|~|IXc Kaposi sarcoma|61087581|0-14|All Races|Male and Female|2009
3.2|4.2|3.7|224|IXd Other specified soft tissue sarcomas|61087581|0-14|All Races|Male and Female|2009
1.0|1.5|1.2|74|IXe Unspecified soft tissue sarcomas|61087581|0-14|All Races|Male and Female|2009
39.4|42.6|41.0|2527|Ia Lymphoid leukemias|61087581|0-14|All Races|Male and Female|2009
6.6|8.0|7.3|450|Ib Acute myeloid leukemias|61087581|0-14|All Races|Male and Female|2009
1.3|2.0|1.6|100|Ic Chronic myeloproliferative diseases|61087581|0-14|All Races|Male and Female|2009
1.3|1.9|1.6|97|Id Myelodysplastic syndrome and other myeloproliferative diseases|61087581|0-14|All Races|Male and Female|2009
0.8|1.3|1.0|64|Ie Unspecified and other specified leukemias|61087581|0-14|All Races|Male and Female|2009
0.2|0.5|0.3|19|Not classified by ICCC|61087581|0-14|All Races|Male and Female|2009
4.0|5.1|4.5|284|V RETINOBLASTOMA|61087581|0-14|All Races|Male and Female|2009
8.5|10.0|9.2|574|VI RENAL TUMORS|61087581|0-14|All Races|Male and Female|2009
2.0|2.8|2.4|150|VII HEPATIC TUMORS|61087581|0-14|All Races|Male and Female|2009
6.4|7.7|7.0|425|VIII MALIGNANT BONE TUMORS|61087581|0-14|All Races|Male and Female|2009
3.5|4.5|4.0|240|VIIIa Osteosarcomas|61087581|0-14|All Races|Male and Female|2009
~|~|~|~|VIIIb Chondrosarcomas|61087581|0-14|All Races|Male and Female|2009
2.0|2.8|2.4|143|VIIIc Ewing tumor and related sarcomas of bone|61087581|0-14|All Races|Male and Female|2009
0.2|0.6|0.4|23|VIIId Other specified malignant bone tumors|61087581|0-14|All Races|Male and Female|2009
~|~|~|~|VIIIe Unspecified malignant bone tumors|61087581|0-14|All Races|Male and Female|2009
1.7|2.5|2.1|129|VIIa Hepatoblastoma and mesenchymal tumors of liver|61087581|0-14|All Races|Male and Female|2009
0.2|0.5|0.3|19|VIIb Hepatic carcinomas|61087581|0-14|All Races|Male and Female|2009
~|~|~|~|VIIc Unspecified malignant hepatic tumors|61087581|0-14|All Races|Male and Female|2009
7.9|9.4|8.6|537|VIa Nephroblastoma and other non-epithelial renal tumors|61087581|0-14|All Races|Male and Female|2009
0.4|0.8|0.6|36|VIb Renal carcinomas|61087581|0-14|All Races|Male and Female|2009
~|~|~|~|VIc Unspecified malignant renal tumors|61087581|0-14|All Races|Male and Female|2009
4.9|6.1|5.4|333|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|61087581|0-14|All Races|Male and Female|2009
6.4|7.8|7.1|430|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|61087581|0-14|All Races|Male and Female|2009
0.7|1.2|0.9|55|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|61087581|0-14|All Races|Male and Female|2009
0.3|0.7|0.5|28|XIIa Other specified malignant tumors|61087581|0-14|All Races|Male and Female|2009
0.3|0.6|0.4|27|XIIb Other unspecified malignant tumors|61087581|0-14|All Races|Male and Female|2009
0.1|0.4|0.3|16|XIa Adrenocortical carcinomas|61087581|0-14|All Races|Male and Female|2009
2.5|3.4|2.9|177|XIb Thyroid carcinomas|61087581|0-14|All Races|Male and Female|2009
0.3|0.6|0.4|25|XIc Nasopharyngeal carcinomas|61087581|0-14|All Races|Male and Female|2009
1.3|1.9|1.6|95|XId Malignant melanomas|61087581|0-14|All Races|Male and Female|2009
~|~|~|~|XIe Skin carcinomas|61087581|0-14|All Races|Male and Female|2009
1.5|2.2|1.8|111|XIf Other and unspecified carcinomas|61087581|0-14|All Races|Male and Female|2009
1.1|1.7|1.4|85|Xa Intracranial and intraspinal germ cell tumors|61087581|0-14|All Races|Male and Female|2009
0.9|1.5|1.2|74|Xb Malignant extracranial and extragonadal germ cell tumors|61087581|0-14|All Races|Male and Female|2009
2.2|3.1|2.6|161|Xc Malignant gonadal germ cell tumors|61087581|0-14|All Races|Male and Female|2009
~|~|~|~|Xd Gonadal carcinomas|61087581|0-14|All Races|Male and Female|2009
~|~|~|~|Xe Other and unspecified malignant gonadal tumors|61087581|0-14|All Races|Male and Female|2009
167.6|174.2|170.9|10511|All ICCC Groups Combined|61228770|0-14|All Races|Male and Female|2010
52.0|55.7|53.8|3319|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|61228770|0-14|All Races|Male and Female|2010
19.5|21.8|20.6|1259|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|61228770|0-14|All Races|Male and Female|2010
35.4|38.4|36.9|2263|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|61228770|0-14|All Races|Male and Female|2010
2.9|3.8|3.3|205|IIIa Ependymomas and choroid plexus tumor|61228770|0-14|All Races|Male and Female|2010
17.9|20.1|19.0|1164|IIIb Astrocytomas|61228770|0-14|All Races|Male and Female|2010
6.7|8.1|7.4|455|IIIc Intracranial and intraspinal embryonal tumors|61228770|0-14|All Races|Male and Female|2010
5.6|6.8|6.2|378|IIId Other gliomas|61228770|0-14|All Races|Male and Female|2010
0.5|0.9|0.6|39|IIIe Other specified intracranial and intraspinal neoplasms|61228770|0-14|All Races|Male and Female|2010
0.2|0.5|0.4|22|IIIf Unspecified intracranial and intraspinal neoplasms|61228770|0-14|All Races|Male and Female|2010
4.7|5.9|5.3|323|IIa Hodgkin lymphomas|61228770|0-14|All Races|Male and Female|2010
7.0|8.4|7.6|466|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|61228770|0-14|All Races|Male and Female|2010
2.1|2.9|2.4|149|IIc Burkitt lymphoma|61228770|0-14|All Races|Male and Female|2010
4.5|5.6|5.0|311|IId Miscellaneous lymphoreticular neoplasms|61228770|0-14|All Races|Male and Female|2010
~|~|~|~|IIe Unspecified lymphomas|61228770|0-14|All Races|Male and Female|2010
10.5|12.1|11.3|700|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|61228770|0-14|All Races|Male and Female|2010
10.3|11.9|11.1|688|IVa Neuroblastoma and ganglioneuroblastoma|61228770|0-14|All Races|Male and Female|2010
~|~|~|~|IVb Other peripheral nervous cell tumors|61228770|0-14|All Races|Male and Female|2010
10.4|12.0|11.2|685|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|61228770|0-14|All Races|Male and Female|2010
4.8|5.9|5.3|327|IXa Rhabdomyosarcomas|61228770|0-14|All Races|Male and Female|2010
0.6|1.1|0.8|50|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|61228770|0-14|All Races|Male and Female|2010
~|~|~|~|IXc Kaposi sarcoma|61228770|0-14|All Races|Male and Female|2010
3.3|4.2|3.7|228|IXd Other specified soft tissue sarcomas|61228770|0-14|All Races|Male and Female|2010
1.0|1.6|1.3|80|IXe Unspecified soft tissue sarcomas|61228770|0-14|All Races|Male and Female|2010
39.4|42.6|41.0|2529|Ia Lymphoid leukemias|61228770|0-14|All Races|Male and Female|2010
7.2|8.6|7.9|487|Ib Acute myeloid leukemias|61228770|0-14|All Races|Male and Female|2010
1.6|2.4|2.0|121|Ic Chronic myeloproliferative diseases|61228770|0-14|All Races|Male and Female|2010
1.6|2.3|1.9|119|Id Myelodysplastic syndrome and other myeloproliferative diseases|61228770|0-14|All Races|Male and Female|2010
0.8|1.3|1.0|63|Ie Unspecified and other specified leukemias|61228770|0-14|All Races|Male and Female|2010
0.1|0.4|0.3|16|Not classified by ICCC|61228770|0-14|All Races|Male and Female|2010
4.0|5.1|4.5|282|V RETINOBLASTOMA|61228770|0-14|All Races|Male and Female|2010
7.7|9.2|8.4|523|VI RENAL TUMORS|61228770|0-14|All Races|Male and Female|2010
3.0|3.9|3.4|211|VII HEPATIC TUMORS|61228770|0-14|All Races|Male and Female|2010
6.1|7.5|6.8|412|VIII MALIGNANT BONE TUMORS|61228770|0-14|All Races|Male and Female|2010
3.3|4.2|3.7|226|VIIIa Osteosarcomas|61228770|0-14|All Races|Male and Female|2010
~|~|~|~|VIIIb Chondrosarcomas|61228770|0-14|All Races|Male and Female|2010
2.0|2.8|2.4|144|VIIIc Ewing tumor and related sarcomas of bone|61228770|0-14|All Races|Male and Female|2010
0.2|0.5|0.3|21|VIIId Other specified malignant bone tumors|61228770|0-14|All Races|Male and Female|2010
~|~|~|~|VIIIe Unspecified malignant bone tumors|61228770|0-14|All Races|Male and Female|2010
2.5|3.4|2.9|181|VIIa Hepatoblastoma and mesenchymal tumors of liver|61228770|0-14|All Races|Male and Female|2010
0.3|0.7|0.5|29|VIIb Hepatic carcinomas|61228770|0-14|All Races|Male and Female|2010
~|~|~|~|VIIc Unspecified malignant hepatic tumors|61228770|0-14|All Races|Male and Female|2010
7.4|8.8|8.1|503|VIa Nephroblastoma and other non-epithelial renal tumors|61228770|0-14|All Races|Male and Female|2010
0.2|0.5|0.3|19|VIb Renal carcinomas|61228770|0-14|All Races|Male and Female|2010
~|~|~|~|VIc Unspecified malignant renal tumors|61228770|0-14|All Races|Male and Female|2010
5.5|6.8|6.1|376|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|61228770|0-14|All Races|Male and Female|2010
6.3|7.6|6.9|421|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|61228770|0-14|All Races|Male and Female|2010
0.5|1.0|0.7|44|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|61228770|0-14|All Races|Male and Female|2010
0.3|0.7|0.5|30|XIIa Other specified malignant tumors|61228770|0-14|All Races|Male and Female|2010
~|~|~|~|XIIb Other unspecified malignant tumors|61228770|0-14|All Races|Male and Female|2010
~|~|~|~|XIa Adrenocortical carcinomas|61228770|0-14|All Races|Male and Female|2010
2.5|3.3|2.9|174|XIb Thyroid carcinomas|61228770|0-14|All Races|Male and Female|2010
0.2|0.4|0.3|16|XIc Nasopharyngeal carcinomas|61228770|0-14|All Races|Male and Female|2010
1.5|2.1|1.8|108|XId Malignant melanomas|61228770|0-14|All Races|Male and Female|2010
~|~|~|~|XIe Skin carcinomas|61228770|0-14|All Races|Male and Female|2010
1.4|2.1|1.7|104|XIf Other and unspecified carcinomas|61228770|0-14|All Races|Male and Female|2010
1.5|2.2|1.8|111|Xa Intracranial and intraspinal germ cell tumors|61228770|0-14|All Races|Male and Female|2010
1.1|1.7|1.4|84|Xb Malignant extracranial and extragonadal germ cell tumors|61228770|0-14|All Races|Male and Female|2010
2.2|3.0|2.6|158|Xc Malignant gonadal germ cell tumors|61228770|0-14|All Races|Male and Female|2010
~|~|~|~|Xd Gonadal carcinomas|61228770|0-14|All Races|Male and Female|2010
0.1|0.4|0.3|16|Xe Other and unspecified malignant gonadal tumors|61228770|0-14|All Races|Male and Female|2010
167.1|173.7|170.4|10485|All ICCC Groups Combined|61309611|0-14|All Races|Male and Female|2011
51.9|55.6|53.7|3310|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|61309611|0-14|All Races|Male and Female|2011
19.7|22.0|20.8|1276|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|61309611|0-14|All Races|Male and Female|2011
34.7|37.7|36.2|2224|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|61309611|0-14|All Races|Male and Female|2011
2.9|3.9|3.4|208|IIIa Ependymomas and choroid plexus tumor|61309611|0-14|All Races|Male and Female|2011
17.4|19.6|18.5|1136|IIIb Astrocytomas|61309611|0-14|All Races|Male and Female|2011
6.4|7.7|7.0|433|IIIc Intracranial and intraspinal embryonal tumors|61309611|0-14|All Races|Male and Female|2011
5.7|6.9|6.3|384|IIId Other gliomas|61309611|0-14|All Races|Male and Female|2011
0.4|0.8|0.6|35|IIIe Other specified intracranial and intraspinal neoplasms|61309611|0-14|All Races|Male and Female|2011
0.3|0.7|0.5|28|IIIf Unspecified intracranial and intraspinal neoplasms|61309611|0-14|All Races|Male and Female|2011
4.7|5.8|5.2|318|IIa Hodgkin lymphomas|61309611|0-14|All Races|Male and Female|2011
6.2|7.6|6.9|420|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|61309611|0-14|All Races|Male and Female|2011
2.2|3.1|2.6|161|IIc Burkitt lymphoma|61309611|0-14|All Races|Male and Female|2011
5.3|6.6|5.9|364|IId Miscellaneous lymphoreticular neoplasms|61309611|0-14|All Races|Male and Female|2011
~|~|~|~|IIe Unspecified lymphomas|61309611|0-14|All Races|Male and Female|2011
10.5|12.2|11.3|702|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|61309611|0-14|All Races|Male and Female|2011
10.3|12.0|11.1|688|IVa Neuroblastoma and ganglioneuroblastoma|61309611|0-14|All Races|Male and Female|2011
~|~|~|~|IVb Other peripheral nervous cell tumors|61309611|0-14|All Races|Male and Female|2011
9.9|11.5|10.7|657|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|61309611|0-14|All Races|Male and Female|2011
4.4|5.5|4.9|304|IXa Rhabdomyosarcomas|61309611|0-14|All Races|Male and Female|2011
0.8|1.3|1.1|65|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|61309611|0-14|All Races|Male and Female|2011
~|~|~|~|IXc Kaposi sarcoma|61309611|0-14|All Races|Male and Female|2011
3.1|4.1|3.6|220|IXd Other specified soft tissue sarcomas|61309611|0-14|All Races|Male and Female|2011
0.8|1.4|1.1|66|IXe Unspecified soft tissue sarcomas|61309611|0-14|All Races|Male and Female|2011
40.3|43.5|41.9|2582|Ia Lymphoid leukemias|61309611|0-14|All Races|Male and Female|2011
7.1|8.5|7.8|478|Ib Acute myeloid leukemias|61309611|0-14|All Races|Male and Female|2011
1.5|2.3|1.9|115|Ic Chronic myeloproliferative diseases|61309611|0-14|All Races|Male and Female|2011
1.1|1.7|1.3|83|Id Myelodysplastic syndrome and other myeloproliferative diseases|61309611|0-14|All Races|Male and Female|2011
0.6|1.1|0.8|52|Ie Unspecified and other specified leukemias|61309611|0-14|All Races|Male and Female|2011
~|~|~|~|Not classified by ICCC|61309611|0-14|All Races|Male and Female|2011
3.7|4.7|4.2|260|V RETINOBLASTOMA|61309611|0-14|All Races|Male and Female|2011
8.2|9.7|9.0|556|VI RENAL TUMORS|61309611|0-14|All Races|Male and Female|2011
3.0|4.0|3.5|215|VII HEPATIC TUMORS|61309611|0-14|All Races|Male and Female|2011
6.7|8.1|7.4|451|VIII MALIGNANT BONE TUMORS|61309611|0-14|All Races|Male and Female|2011
3.6|4.6|4.1|249|VIIIa Osteosarcomas|61309611|0-14|All Races|Male and Female|2011
~|~|~|~|VIIIb Chondrosarcomas|61309611|0-14|All Races|Male and Female|2011
2.4|3.2|2.8|170|VIIIc Ewing tumor and related sarcomas of bone|61309611|0-14|All Races|Male and Female|2011
~|~|~|~|VIIId Other specified malignant bone tumors|61309611|0-14|All Races|Male and Female|2011
~|~|~|~|VIIIe Unspecified malignant bone tumors|61309611|0-14|All Races|Male and Female|2011
2.6|3.5|3.0|187|VIIa Hepatoblastoma and mesenchymal tumors of liver|61309611|0-14|All Races|Male and Female|2011
0.3|0.6|0.4|25|VIIb Hepatic carcinomas|61309611|0-14|All Races|Male and Female|2011
~|~|~|~|VIIc Unspecified malignant hepatic tumors|61309611|0-14|All Races|Male and Female|2011
7.9|9.4|8.6|533|VIa Nephroblastoma and other non-epithelial renal tumors|61309611|0-14|All Races|Male and Female|2011
0.2|0.5|0.4|22|VIb Renal carcinomas|61309611|0-14|All Races|Male and Female|2011
~|~|~|~|VIc Unspecified malignant renal tumors|61309611|0-14|All Races|Male and Female|2011
4.6|5.7|5.1|313|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|61309611|0-14|All Races|Male and Female|2011
7.0|8.4|7.7|470|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|61309611|0-14|All Races|Male and Female|2011
0.5|0.9|0.6|40|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|61309611|0-14|All Races|Male and Female|2011
0.2|0.5|0.3|20|XIIa Other specified malignant tumors|61309611|0-14|All Races|Male and Female|2011
0.2|0.5|0.3|20|XIIb Other unspecified malignant tumors|61309611|0-14|All Races|Male and Female|2011
0.1|0.4|0.3|16|XIa Adrenocortical carcinomas|61309611|0-14|All Races|Male and Female|2011
2.9|3.8|3.3|204|XIb Thyroid carcinomas|61309611|0-14|All Races|Male and Female|2011
0.2|0.5|0.3|19|XIc Nasopharyngeal carcinomas|61309611|0-14|All Races|Male and Female|2011
1.7|2.4|2.0|124|XId Malignant melanomas|61309611|0-14|All Races|Male and Female|2011
~|~|~|~|XIe Skin carcinomas|61309611|0-14|All Races|Male and Female|2011
1.4|2.1|1.7|105|XIf Other and unspecified carcinomas|61309611|0-14|All Races|Male and Female|2011
1.2|1.9|1.5|93|Xa Intracranial and intraspinal germ cell tumors|61309611|0-14|All Races|Male and Female|2011
1.0|1.5|1.2|75|Xb Malignant extracranial and extragonadal germ cell tumors|61309611|0-14|All Races|Male and Female|2011
1.8|2.6|2.2|133|Xc Malignant gonadal germ cell tumors|61309611|0-14|All Races|Male and Female|2011
~|~|~|~|Xd Gonadal carcinomas|61309611|0-14|All Races|Male and Female|2011
~|~|~|~|Xe Other and unspecified malignant gonadal tumors|61309611|0-14|All Races|Male and Female|2011
166.2|172.8|169.5|10424|All ICCC Groups Combined|61367958|0-14|All Races|Male and Female|2012
50.0|53.6|51.8|3189|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|61367958|0-14|All Races|Male and Female|2012
21.0|23.4|22.2|1361|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|61367958|0-14|All Races|Male and Female|2012
34.2|37.2|35.7|2192|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|61367958|0-14|All Races|Male and Female|2012
2.6|3.4|3.0|183|IIIa Ependymomas and choroid plexus tumor|61367958|0-14|All Races|Male and Female|2012
17.8|20.0|18.9|1162|IIIb Astrocytomas|61367958|0-14|All Races|Male and Female|2012
6.5|7.8|7.1|438|IIIc Intracranial and intraspinal embryonal tumors|61367958|0-14|All Races|Male and Female|2012
4.8|6.0|5.4|329|IIId Other gliomas|61367958|0-14|All Races|Male and Female|2012
0.4|0.8|0.6|36|IIIe Other specified intracranial and intraspinal neoplasms|61367958|0-14|All Races|Male and Female|2012
0.5|1.0|0.7|44|IIIf Unspecified intracranial and intraspinal neoplasms|61367958|0-14|All Races|Male and Female|2012
5.1|6.3|5.7|349|IIa Hodgkin lymphomas|61367958|0-14|All Races|Male and Female|2012
7.3|8.7|8.0|489|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|61367958|0-14|All Races|Male and Female|2012
2.0|2.7|2.3|143|IIc Burkitt lymphoma|61367958|0-14|All Races|Male and Female|2012
5.2|6.4|5.8|356|IId Miscellaneous lymphoreticular neoplasms|61367958|0-14|All Races|Male and Female|2012
0.3|0.6|0.4|24|IIe Unspecified lymphomas|61367958|0-14|All Races|Male and Female|2012
10.6|12.3|11.4|704|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|61367958|0-14|All Races|Male and Female|2012
10.4|12.1|11.2|690|IVa Neuroblastoma and ganglioneuroblastoma|61367958|0-14|All Races|Male and Female|2012
~|~|~|~|IVb Other peripheral nervous cell tumors|61367958|0-14|All Races|Male and Female|2012
10.1|11.8|11.0|673|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|61367958|0-14|All Races|Male and Female|2012
4.4|5.5|4.9|303|IXa Rhabdomyosarcomas|61367958|0-14|All Races|Male and Female|2012
0.9|1.5|1.2|71|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|61367958|0-14|All Races|Male and Female|2012
~|~|~|~|IXc Kaposi sarcoma|61367958|0-14|All Races|Male and Female|2012
3.1|4.1|3.6|220|IXd Other specified soft tissue sarcomas|61367958|0-14|All Races|Male and Female|2012
1.0|1.6|1.3|77|IXe Unspecified soft tissue sarcomas|61367958|0-14|All Races|Male and Female|2012
38.6|41.7|40.1|2473|Ia Lymphoid leukemias|61367958|0-14|All Races|Male and Female|2012
6.5|7.9|7.2|442|Ib Acute myeloid leukemias|61367958|0-14|All Races|Male and Female|2012
1.5|2.1|1.8|109|Ic Chronic myeloproliferative diseases|61367958|0-14|All Races|Male and Female|2012
1.4|2.0|1.7|102|Id Myelodysplastic syndrome and other myeloproliferative diseases|61367958|0-14|All Races|Male and Female|2012
0.8|1.3|1.0|63|Ie Unspecified and other specified leukemias|61367958|0-14|All Races|Male and Female|2012
~|~|~|~|Not classified by ICCC|61367958|0-14|All Races|Male and Female|2012
3.9|4.9|4.4|270|V RETINOBLASTOMA|61367958|0-14|All Races|Male and Female|2012
7.9|9.3|8.6|530|VI RENAL TUMORS|61367958|0-14|All Races|Male and Female|2012
3.1|4.0|3.5|217|VII HEPATIC TUMORS|61367958|0-14|All Races|Male and Female|2012
6.6|8.0|7.3|447|VIII MALIGNANT BONE TUMORS|61367958|0-14|All Races|Male and Female|2012
3.9|4.9|4.4|267|VIIIa Osteosarcomas|61367958|0-14|All Races|Male and Female|2012
~|~|~|~|VIIIb Chondrosarcomas|61367958|0-14|All Races|Male and Female|2012
1.9|2.6|2.2|137|VIIIc Ewing tumor and related sarcomas of bone|61367958|0-14|All Races|Male and Female|2012
0.2|0.5|0.3|21|VIIId Other specified malignant bone tumors|61367958|0-14|All Races|Male and Female|2012
~|~|~|~|VIIIe Unspecified malignant bone tumors|61367958|0-14|All Races|Male and Female|2012
2.6|3.5|3.0|187|VIIa Hepatoblastoma and mesenchymal tumors of liver|61367958|0-14|All Races|Male and Female|2012
0.3|0.7|0.5|28|VIIb Hepatic carcinomas|61367958|0-14|All Races|Male and Female|2012
~|~|~|~|VIIc Unspecified malignant hepatic tumors|61367958|0-14|All Races|Male and Female|2012
7.5|8.9|8.2|506|VIa Nephroblastoma and other non-epithelial renal tumors|61367958|0-14|All Races|Male and Female|2012
0.2|0.5|0.3|19|VIb Renal carcinomas|61367958|0-14|All Races|Male and Female|2012
