AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-19|0.1|0.1|0.1|54|Mortality|82324418|Kidney and Renal Pelvis|2006
0-19|0.6|0.8|0.7|569|Incidence|82324418|Kidney and Renal Pelvis|2006
0-19|0.7|0.8|0.7|618|Mortality|82324418|Leukemia|2006
0-19|4.3|4.6|4.4|3654|Incidence|82324418|Leukemia|2006
0-19|0.1|0.1|0.1|89|Mortality|82324418|Non-Hodgkin Lymphoma|2006
0-19|1.1|1.2|1.1|946|Incidence|82324418|Non-Hodgkin Lymphoma|2006
0-19|0.5|0.6|0.5|413|Mortality|82324418|Other|2006
0-19|4.5|4.8|4.6|3905|Incidence|82324418|Other|2006
0-19|0.1|0.2|0.2|140|Mortality|82324418|Soft Tissue|2006
0-19|0.9|1.1|1.0|826|Incidence|82324418|Soft Tissue|2006
0-14|0.3|0.4|0.4|212|Mortality|60681615|Acute Lymphocytic|2007
0-14|3.8|4.1|4.0|2409|Incidence|60681615|Acute Lymphocytic|2007
0-14|0.2|0.3|0.2|129|Mortality|60681615|Acute Myeloid|2007
0-14|0.6|0.7|0.7|413|Incidence|60681615|Acute Myeloid|2007
0-14|2.2|2.4|2.3|1395|Mortality|60681615|All Cancer Sites Combined|2007
0-14|15.9|16.5|16.2|9913|Incidence|60681615|All Cancer Sites Combined|2007
0-14|0.1|0.1|0.1|61|Mortality|60681615|Bones and Joints|2007
0-14|0.6|0.8|0.7|427|Incidence|60681615|Bones and Joints|2007
0-14|0.6|0.8|0.7|426|Mortality|60681615|Brain and Other Nervous System|2007
0-14|3.5|3.8|3.7|2223|Incidence|60681615|Brain and Other Nervous System|2007
0-14|~|~|~|~|Mortality|60681615|Hodgkin Lymphoma|2007
0-14|0.5|0.6|0.5|332|Incidence|60681615|Hodgkin Lymphoma|2007
0-14|0.0|0.1|0.1|36|Mortality|60681615|Kidney and Renal Pelvis|2007
0-14|0.8|1.0|0.9|542|Incidence|60681615|Kidney and Renal Pelvis|2007
0-14|0.7|0.8|0.7|441|Mortality|60681615|Leukemia|2007
0-14|4.8|5.2|5.0|3050|Incidence|60681615|Leukemia|2007
0-14|0.0|0.1|0.1|40|Mortality|60681615|Non-Hodgkin Lymphoma|2007
0-14|0.9|1.1|1.0|595|Incidence|60681615|Non-Hodgkin Lymphoma|2007
0-14|0.4|0.6|0.5|306|Mortality|60681615|Other|2007
0-14|3.2|3.5|3.4|2090|Incidence|60681615|Other|2007
0-14|0.1|0.2|0.1|82|Mortality|60681615|Soft Tissue|2007
0-14|1.0|1.1|1.1|654|Incidence|60681615|Soft Tissue|2007
0-19|0.3|0.4|0.4|294|Mortality|82749431|Acute Lymphocytic|2007
0-19|3.3|3.5|3.4|2776|Incidence|82749431|Acute Lymphocytic|2007
0-19|0.2|0.3|0.2|195|Mortality|82749431|Acute Myeloid|2007
0-19|0.6|0.8|0.7|582|Incidence|82749431|Acute Myeloid|2007
0-19|2.4|2.6|2.5|2068|Mortality|82749431|All Cancer Sites Combined|2007
0-19|17.4|18.0|17.7|14811|Incidence|82749431|All Cancer Sites Combined|2007
0-19|0.2|0.2|0.2|172|Mortality|82749431|Bones and Joints|2007
0-19|0.8|1.0|0.9|752|Incidence|82749431|Bones and Joints|2007
0-19|0.6|0.7|0.6|521|Mortality|82749431|Brain and Other Nervous System|2007
0-19|3.2|3.4|3.3|2723|Incidence|82749431|Brain and Other Nervous System|2007
0-19|0.0|0.0|0.0|19|Mortality|82749431|Hodgkin Lymphoma|2007
0-19|1.1|1.3|1.2|1038|Incidence|82749431|Hodgkin Lymphoma|2007
0-19|0.0|0.1|0.1|47|Mortality|82749431|Kidney and Renal Pelvis|2007
0-19|0.7|0.8|0.7|586|Incidence|82749431|Kidney and Renal Pelvis|2007
0-19|0.7|0.8|0.8|643|Mortality|82749431|Leukemia|2007
0-19|4.3|4.6|4.5|3700|Incidence|82749431|Leukemia|2007
0-19|0.1|0.1|0.1|87|Mortality|82749431|Non-Hodgkin Lymphoma|2007
0-19|1.1|1.2|1.2|976|Incidence|82749431|Non-Hodgkin Lymphoma|2007
0-19|0.5|0.6|0.5|439|Mortality|82749431|Other|2007
0-19|4.7|5.0|4.8|4110|Incidence|82749431|Other|2007
0-19|0.1|0.2|0.2|140|Mortality|82749431|Soft Tissue|2007
0-19|1.0|1.2|1.1|926|Incidence|82749431|Soft Tissue|2007
0-14|0.2|0.3|0.3|176|Mortality|60907384|Acute Lymphocytic|2008
0-14|3.9|4.2|4.1|2487|Incidence|60907384|Acute Lymphocytic|2008
0-14|0.2|0.2|0.2|127|Mortality|60907384|Acute Myeloid|2008
0-14|0.6|0.8|0.7|436|Incidence|60907384|Acute Myeloid|2008
0-14|2.1|2.3|2.2|1354|Mortality|60907384|All Cancer Sites Combined|2008
0-14|16.2|16.8|16.5|10108|Incidence|60907384|All Cancer Sites Combined|2008
0-14|0.1|0.1|0.1|62|Mortality|60907384|Bones and Joints|2008
0-14|0.6|0.8|0.7|424|Incidence|60907384|Bones and Joints|2008
0-14|0.6|0.8|0.7|429|Mortality|60907384|Brain and Other Nervous System|2008
0-14|3.5|3.8|3.7|2233|Incidence|60907384|Brain and Other Nervous System|2008
0-14|~|~|~|~|Mortality|60907384|Hodgkin Lymphoma|2008
0-14|0.6|0.7|0.6|384|Incidence|60907384|Hodgkin Lymphoma|2008
0-14|0.1|0.1|0.1|46|Mortality|60907384|Kidney and Renal Pelvis|2008
0-14|0.8|1.0|0.9|570|Incidence|60907384|Kidney and Renal Pelvis|2008
0-14|0.6|0.7|0.7|402|Mortality|60907384|Leukemia|2008
0-14|5.0|5.3|5.1|3148|Incidence|60907384|Leukemia|2008
0-14|0.0|0.1|0.1|39|Mortality|60907384|Non-Hodgkin Lymphoma|2008
0-14|0.9|1.0|1.0|582|Incidence|60907384|Non-Hodgkin Lymphoma|2008
0-14|0.4|0.5|0.5|286|Mortality|60907384|Other|2008
0-14|3.2|3.5|3.4|2101|Incidence|60907384|Other|2008
0-14|0.1|0.2|0.1|89|Mortality|60907384|Soft Tissue|2008
0-14|1.0|1.2|1.1|666|Incidence|60907384|Soft Tissue|2008
0-19|0.3|0.3|0.3|253|Mortality|83118264|Acute Lymphocytic|2008
0-19|3.3|3.6|3.5|2859|Incidence|83118264|Acute Lymphocytic|2008
0-19|0.2|0.3|0.2|183|Mortality|83118264|Acute Myeloid|2008
0-19|0.7|0.8|0.7|629|Incidence|83118264|Acute Myeloid|2008
0-19|2.3|2.5|2.4|2039|Mortality|83118264|All Cancer Sites Combined|2008
0-19|17.6|18.2|17.9|15038|Incidence|83118264|All Cancer Sites Combined|2008
0-19|0.2|0.2|0.2|182|Mortality|83118264|Bones and Joints|2008
0-19|0.8|1.0|0.9|749|Incidence|83118264|Bones and Joints|2008
0-19|0.6|0.7|0.6|533|Mortality|83118264|Brain and Other Nervous System|2008
0-19|3.2|3.5|3.3|2759|Incidence|83118264|Brain and Other Nervous System|2008
0-19|~|~|~|~|Mortality|83118264|Hodgkin Lymphoma|2008
0-19|1.2|1.4|1.3|1104|Incidence|83118264|Hodgkin Lymphoma|2008
0-19|0.0|0.1|0.1|52|Mortality|83118264|Kidney and Renal Pelvis|2008
0-19|0.7|0.8|0.7|619|Incidence|83118264|Kidney and Renal Pelvis|2008
0-19|0.7|0.8|0.7|598|Mortality|83118264|Leukemia|2008
0-19|4.5|4.8|4.6|3825|Incidence|83118264|Leukemia|2008
0-19|0.1|0.1|0.1|93|Mortality|83118264|Non-Hodgkin Lymphoma|2008
0-19|1.1|1.2|1.2|963|Incidence|83118264|Non-Hodgkin Lymphoma|2008
0-19|0.4|0.5|0.5|407|Mortality|83118264|Other|2008
0-19|4.7|5.0|4.8|4103|Incidence|83118264|Other|2008
0-19|0.2|0.2|0.2|160|Mortality|83118264|Soft Tissue|2008
0-19|1.0|1.2|1.1|916|Incidence|83118264|Soft Tissue|2008
0-14|0.2|0.3|0.3|174|Mortality|61087581|Acute Lymphocytic|2009
0-14|3.9|4.2|4.1|2510|Incidence|61087581|Acute Lymphocytic|2009
0-14|0.2|0.2|0.2|119|Mortality|61087581|Acute Myeloid|2009
0-14|0.6|0.7|0.6|395|Incidence|61087581|Acute Myeloid|2009
0-14|2.0|2.3|2.2|1320|Mortality|61087581|All Cancer Sites Combined|2009
0-14|16.0|16.7|16.4|10051|Incidence|61087581|All Cancer Sites Combined|2009
0-14|0.1|0.2|0.1|77|Mortality|61087581|Bones and Joints|2009
0-14|0.6|0.8|0.7|432|Incidence|61087581|Bones and Joints|2009
0-14|0.6|0.7|0.7|402|Mortality|61087581|Brain and Other Nervous System|2009
0-14|3.5|3.8|3.6|2229|Incidence|61087581|Brain and Other Nervous System|2009
0-14|~|~|~|~|Mortality|61087581|Hodgkin Lymphoma|2009
0-14|0.5|0.6|0.6|350|Incidence|61087581|Hodgkin Lymphoma|2009
0-14|0.0|0.1|0.1|38|Mortality|61087581|Kidney and Renal Pelvis|2009
0-14|0.9|1.0|1.0|593|Incidence|61087581|Kidney and Renal Pelvis|2009
0-14|0.6|0.7|0.6|389|Mortality|61087581|Leukemia|2009
0-14|4.9|5.3|5.1|3125|Incidence|61087581|Leukemia|2009
0-14|0.0|0.1|0.1|38|Mortality|61087581|Non-Hodgkin Lymphoma|2009
0-14|0.9|1.0|0.9|571|Incidence|61087581|Non-Hodgkin Lymphoma|2009
0-14|0.4|0.5|0.4|271|Mortality|61087581|Other|2009
0-14|3.3|3.6|3.4|2106|Incidence|61087581|Other|2009
0-14|0.1|0.2|0.2|98|Mortality|61087581|Soft Tissue|2009
0-14|1.0|1.1|1.0|645|Incidence|61087581|Soft Tissue|2009
0-19|0.3|0.3|0.3|240|Mortality|83280391|Acute Lymphocytic|2009
0-19|3.3|3.6|3.4|2860|Incidence|83280391|Acute Lymphocytic|2009
0-19|0.2|0.3|0.2|182|Mortality|83280391|Acute Myeloid|2009
0-19|0.6|0.7|0.7|572|Incidence|83280391|Acute Myeloid|2009
0-19|2.2|2.5|2.3|1964|Mortality|83280391|All Cancer Sites Combined|2009
0-19|17.6|18.1|17.9|14999|Incidence|83280391|All Cancer Sites Combined|2009
0-19|0.2|0.2|0.2|179|Mortality|83280391|Bones and Joints|2009
0-19|0.8|1.0|0.9|766|Incidence|83280391|Bones and Joints|2009
0-19|0.6|0.7|0.6|522|Mortality|83280391|Brain and Other Nervous System|2009
0-19|3.2|3.4|3.3|2731|Incidence|83280391|Brain and Other Nervous System|2009
0-19|0.0|0.0|0.0|22|Mortality|83280391|Hodgkin Lymphoma|2009
0-19|1.2|1.3|1.3|1087|Incidence|83280391|Hodgkin Lymphoma|2009
0-19|0.0|0.1|0.1|45|Mortality|83280391|Kidney and Renal Pelvis|2009
0-19|0.7|0.8|0.8|637|Incidence|83280391|Kidney and Renal Pelvis|2009
0-19|0.6|0.7|0.7|561|Mortality|83280391|Leukemia|2009
0-19|4.4|4.7|4.5|3750|Incidence|83280391|Leukemia|2009
0-19|0.1|0.1|0.1|75|Mortality|83280391|Non-Hodgkin Lymphoma|2009
0-19|1.1|1.2|1.1|943|Incidence|83280391|Non-Hodgkin Lymphoma|2009
0-19|0.4|0.5|0.5|396|Mortality|83280391|Other|2009
0-19|4.7|5.0|4.9|4163|Incidence|83280391|Other|2009
0-19|0.2|0.2|0.2|164|Mortality|83280391|Soft Tissue|2009
0-19|1.0|1.2|1.1|922|Incidence|83280391|Soft Tissue|2009
0-14|0.2|0.3|0.3|164|Mortality|61228770|Acute Lymphocytic|2010
0-14|3.9|4.2|4.1|2514|Incidence|61228770|Acute Lymphocytic|2010
0-14|0.2|0.3|0.2|131|Mortality|61228770|Acute Myeloid|2010
0-14|0.6|0.8|0.7|435|Incidence|61228770|Acute Myeloid|2010
0-14|2.0|2.3|2.2|1324|Mortality|61228770|All Cancer Sites Combined|2010
0-14|16.8|17.4|17.1|10511|Incidence|61228770|All Cancer Sites Combined|2010
0-14|0.1|0.2|0.1|75|Mortality|61228770|Bones and Joints|2010
0-14|0.6|0.8|0.7|426|Incidence|61228770|Bones and Joints|2010
0-14|0.6|0.7|0.7|410|Mortality|61228770|Brain and Other Nervous System|2010
0-14|3.6|3.9|3.8|2307|Incidence|61228770|Brain and Other Nervous System|2010
0-14|~|~|~|~|Mortality|61228770|Hodgkin Lymphoma|2010
0-14|0.5|0.6|0.5|323|Incidence|61228770|Hodgkin Lymphoma|2010
0-14|0.1|0.1|0.1|46|Mortality|61228770|Kidney and Renal Pelvis|2010
0-14|0.8|0.9|0.9|539|Incidence|61228770|Kidney and Renal Pelvis|2010
0-14|0.6|0.7|0.6|390|Mortality|61228770|Leukemia|2010
0-14|4.9|5.3|5.1|3162|Incidence|61228770|Leukemia|2010
0-14|0.0|0.1|0.1|35|Mortality|61228770|Non-Hodgkin Lymphoma|2010
0-14|0.9|1.1|1.0|593|Incidence|61228770|Non-Hodgkin Lymphoma|2010
0-14|0.4|0.5|0.5|286|Mortality|61228770|Other|2010
0-14|3.9|4.2|4.1|2500|Incidence|61228770|Other|2010
0-14|0.1|0.2|0.1|79|Mortality|61228770|Soft Tissue|2010
0-14|1.0|1.2|1.1|661|Incidence|61228770|Soft Tissue|2010
0-19|0.2|0.3|0.3|230|Mortality|83224734|Acute Lymphocytic|2010
0-19|3.3|3.6|3.4|2849|Incidence|83224734|Acute Lymphocytic|2010
0-19|0.2|0.3|0.2|198|Mortality|83224734|Acute Myeloid|2010
0-19|0.7|0.8|0.8|636|Incidence|83224734|Acute Myeloid|2010
0-19|2.2|2.4|2.3|1925|Mortality|83224734|All Cancer Sites Combined|2010
0-19|18.0|18.6|18.3|15310|Incidence|83224734|All Cancer Sites Combined|2010
0-19|0.2|0.2|0.2|166|Mortality|83224734|Bones and Joints|2010
0-19|0.8|0.9|0.9|718|Incidence|83224734|Bones and Joints|2010
0-19|0.6|0.7|0.6|498|Mortality|83224734|Brain and Other Nervous System|2010
0-19|3.2|3.5|3.4|2786|Incidence|83224734|Brain and Other Nervous System|2010
0-19|~|~|~|~|Mortality|83224734|Hodgkin Lymphoma|2010
0-19|1.1|1.3|1.2|1036|Incidence|83224734|Hodgkin Lymphoma|2010
0-19|0.1|0.1|0.1|56|Mortality|83224734|Kidney and Renal Pelvis|2010
0-19|0.6|0.7|0.7|573|Incidence|83224734|Kidney and Renal Pelvis|2010
0-19|0.6|0.7|0.7|553|Mortality|83224734|Leukemia|2010
0-19|4.4|4.7|4.6|3805|Incidence|83224734|Leukemia|2010
0-19|0.1|0.1|0.1|75|Mortality|83224734|Non-Hodgkin Lymphoma|2010
0-19|1.1|1.2|1.1|950|Incidence|83224734|Non-Hodgkin Lymphoma|2010
0-19|0.5|0.6|0.5|419|Mortality|83224734|Other|2010
0-19|5.2|5.5|5.4|4532|Incidence|83224734|Other|2010
0-19|0.1|0.2|0.2|146|Mortality|83224734|Soft Tissue|2010
0-19|1.0|1.2|1.1|910|Incidence|83224734|Soft Tissue|2010
0-14|0.2|0.3|0.2|153|Mortality|61309611|Acute Lymphocytic|2011
0-14|4.0|4.3|4.2|2569|Incidence|61309611|Acute Lymphocytic|2011
0-14|0.2|0.2|0.2|117|Mortality|61309611|Acute Myeloid|2011
0-14|0.6|0.8|0.7|426|Incidence|61309611|Acute Myeloid|2011
0-14|2.0|2.2|2.1|1283|Mortality|61309611|All Cancer Sites Combined|2011
0-14|16.7|17.4|17.0|10485|Incidence|61309611|All Cancer Sites Combined|2011
0-14|0.1|0.2|0.1|73|Mortality|61309611|Bones and Joints|2011
0-14|0.7|0.8|0.8|464|Incidence|61309611|Bones and Joints|2011
0-14|0.7|0.8|0.7|439|Mortality|61309611|Brain and Other Nervous System|2011
0-14|3.5|3.9|3.7|2271|Incidence|61309611|Brain and Other Nervous System|2011
0-14|~|~|~|~|Mortality|61309611|Hodgkin Lymphoma|2011
0-14|0.5|0.6|0.5|318|Incidence|61309611|Hodgkin Lymphoma|2011
0-14|0.0|0.1|0.1|39|Mortality|61309611|Kidney and Renal Pelvis|2011
0-14|0.9|1.0|0.9|574|Incidence|61309611|Kidney and Renal Pelvis|2011
0-14|0.5|0.6|0.6|342|Mortality|61309611|Leukemia|2011
0-14|5.0|5.4|5.2|3201|Incidence|61309611|Leukemia|2011
0-14|0.0|0.1|0.1|32|Mortality|61309611|Non-Hodgkin Lymphoma|2011
0-14|0.8|1.0|0.9|562|Incidence|61309611|Non-Hodgkin Lymphoma|2011
0-14|0.4|0.5|0.4|273|Mortality|61309611|Other|2011
0-14|3.9|4.2|4.0|2477|Incidence|61309611|Other|2011
0-14|0.1|0.2|0.1|84|Mortality|61309611|Soft Tissue|2011
0-14|0.9|1.1|1.0|618|Incidence|61309611|Soft Tissue|2011
0-19|0.2|0.3|0.3|223|Mortality|83041095|Acute Lymphocytic|2011
0-19|3.4|3.7|3.6|2943|Incidence|83041095|Acute Lymphocytic|2011
0-19|0.2|0.2|0.2|174|Mortality|83041095|Acute Myeloid|2011
0-19|0.7|0.8|0.8|633|Incidence|83041095|Acute Myeloid|2011
0-19|2.2|2.4|2.3|1922|Mortality|83041095|All Cancer Sites Combined|2011
0-19|18.1|18.7|18.4|15390|Incidence|83041095|All Cancer Sites Combined|2011
0-19|0.2|0.2|0.2|174|Mortality|83041095|Bones and Joints|2011
0-19|0.8|1.0|0.9|760|Incidence|83041095|Bones and Joints|2011
0-19|0.6|0.7|0.7|550|Mortality|83041095|Brain and Other Nervous System|2011
0-19|3.3|3.5|3.4|2835|Incidence|83041095|Brain and Other Nervous System|2011
0-19|0.0|0.0|0.0|17|Mortality|83041095|Hodgkin Lymphoma|2011
0-19|1.1|1.3|1.2|1007|Incidence|83041095|Hodgkin Lymphoma|2011
0-19|0.0|0.1|0.1|45|Mortality|83041095|Kidney and Renal Pelvis|2011
0-19|0.7|0.8|0.7|618|Incidence|83041095|Kidney and Renal Pelvis|2011
0-19|0.6|0.7|0.6|519|Mortality|83041095|Leukemia|2011
0-19|4.5|4.8|4.7|3882|Incidence|83041095|Leukemia|2011
0-19|0.1|0.1|0.1|64|Mortality|83041095|Non-Hodgkin Lymphoma|2011
0-19|1.1|1.2|1.1|936|Incidence|83041095|Non-Hodgkin Lymphoma|2011
0-19|0.4|0.5|0.5|405|Mortality|83041095|Other|2011
0-19|5.2|5.5|5.4|4503|Incidence|83041095|Other|2011
0-19|0.1|0.2|0.2|148|Mortality|83041095|Soft Tissue|2011
0-19|1.0|1.1|1.0|849|Incidence|83041095|Soft Tissue|2011
0-14|0.2|0.3|0.2|152|Mortality|61367958|Acute Lymphocytic|2012
0-14|3.8|4.1|4.0|2453|Incidence|61367958|Acute Lymphocytic|2012
0-14|0.2|0.3|0.2|137|Mortality|61367958|Acute Myeloid|2012
0-14|0.6|0.7|0.6|396|Incidence|61367958|Acute Myeloid|2012
0-14|2.1|2.3|2.2|1367|Mortality|61367958|All Cancer Sites Combined|2012
0-14|16.6|17.3|16.9|10424|Incidence|61367958|All Cancer Sites Combined|2012
0-14|0.1|0.1|0.1|68|Mortality|61367958|Bones and Joints|2012
0-14|0.7|0.8|0.8|460|Incidence|61367958|Bones and Joints|2012
0-14|0.7|0.8|0.7|458|Mortality|61367958|Brain and Other Nervous System|2012
0-14|3.5|3.8|3.7|2247|Incidence|61367958|Brain and Other Nervous System|2012
0-14|~|~|~|~|Mortality|61367958|Hodgkin Lymphoma|2012
0-14|0.5|0.6|0.6|349|Incidence|61367958|Hodgkin Lymphoma|2012
0-14|0.0|0.1|0.0|30|Mortality|61367958|Kidney and Renal Pelvis|2012
0-14|0.8|1.0|0.9|543|Incidence|61367958|Kidney and Renal Pelvis|2012
0-14|0.6|0.7|0.6|378|Mortality|61367958|Leukemia|2012
0-14|4.8|5.1|4.9|3045|Incidence|61367958|Leukemia|2012
0-14|0.0|0.1|0.1|36|Mortality|61367958|Non-Hodgkin Lymphoma|2012
0-14|0.9|1.1|1.0|619|Incidence|61367958|Non-Hodgkin Lymphoma|2012
0-14|0.4|0.5|0.5|292|Mortality|61367958|Other|2012
0-14|3.9|4.3|4.1|2518|Incidence|61367958|Other|2012
0-14|0.1|0.2|0.2|101|Mortality|61367958|Soft Tissue|2012
0-14|1.0|1.1|1.0|643|Incidence|61367958|Soft Tissue|2012
0-19|0.2|0.3|0.3|219|Mortality|82866386|Acute Lymphocytic|2012
0-19|3.2|3.5|3.4|2785|Incidence|82866386|Acute Lymphocytic|2012
0-19|0.2|0.3|0.2|193|Mortality|82866386|Acute Myeloid|2012
0-19|0.7|0.8|0.7|595|Incidence|82866386|Acute Myeloid|2012
0-19|2.3|2.5|2.4|1995|Mortality|82866386|All Cancer Sites Combined|2012
0-19|18.2|18.8|18.5|15420|Incidence|82866386|All Cancer Sites Combined|2012
0-19|0.2|0.2|0.2|178|Mortality|82866386|Bones and Joints|2012
0-19|0.9|1.0|0.9|772|Incidence|82866386|Bones and Joints|2012
0-19|0.6|0.8|0.7|575|Mortality|82866386|Brain and Other Nervous System|2012
0-19|3.2|3.5|3.3|2756|Incidence|82866386|Brain and Other Nervous System|2012
0-19|~|~|~|~|Mortality|82866386|Hodgkin Lymphoma|2012
0-19|1.2|1.3|1.2|1048|Incidence|82866386|Hodgkin Lymphoma|2012
0-19|0.0|0.1|0.0|40|Mortality|82866386|Kidney and Renal Pelvis|2012
0-19|0.7|0.8|0.7|596|Incidence|82866386|Kidney and Renal Pelvis|2012
0-19|0.6|0.7|0.6|534|Mortality|82866386|Leukemia|2012
0-19|4.3|4.6|4.5|3688|Incidence|82866386|Leukemia|2012
0-19|0.1|0.1|0.1|60|Mortality|82866386|Non-Hodgkin Lymphoma|2012
0-19|1.2|1.3|1.2|1041|Incidence|82866386|Non-Hodgkin Lymphoma|2012
0-19|0.5|0.6|0.5|421|Mortality|82866386|Other|2012
0-19|5.4|5.7|5.6|4667|Incidence|82866386|Other|2012
0-19|0.2|0.2|0.2|177|Mortality|82866386|Soft Tissue|2012
0-19|1.0|1.1|1.0|852|Incidence|82866386|Soft Tissue|2012
0-14|0.2|0.3|0.2|141|Mortality|61435794|Acute Lymphocytic|2013
0-14|3.6|3.9|3.8|2319|Incidence|61435794|Acute Lymphocytic|2013
0-14|0.2|0.2|0.2|127|Mortality|61435794|Acute Myeloid|2013
0-14|0.7|0.8|0.7|440|Incidence|61435794|Acute Myeloid|2013
0-14|2.0|2.2|2.1|1287|Mortality|61435794|All Cancer Sites Combined|2013
0-14|16.9|17.5|17.2|10575|Incidence|61435794|All Cancer Sites Combined|2013
0-14|0.1|0.1|0.1|72|Mortality|61435794|Bones and Joints|2013
0-14|0.7|0.8|0.8|471|Incidence|61435794|Bones and Joints|2013
0-14|0.6|0.8|0.7|437|Mortality|61435794|Brain and Other Nervous System|2013
0-14|3.6|3.9|3.8|2329|Incidence|61435794|Brain and Other Nervous System|2013
0-14|~|~|~|~|Mortality|61435794|Hodgkin Lymphoma|2013
0-14|0.5|0.6|0.6|340|Incidence|61435794|Hodgkin Lymphoma|2013
0-14|0.0|0.1|0.1|40|Mortality|61435794|Kidney and Renal Pelvis|2013
0-14|0.8|1.0|0.9|558|Incidence|61435794|Kidney and Renal Pelvis|2013
0-14|0.5|0.6|0.6|350|Mortality|61435794|Leukemia|2013
0-14|4.7|5.0|4.9|2995|Incidence|61435794|Leukemia|2013
0-14|0.0|0.1|0.0|29|Mortality|61435794|Non-Hodgkin Lymphoma|2013
0-14|0.9|1.1|1.0|601|Incidence|61435794|Non-Hodgkin Lymphoma|2013
0-14|0.4|0.5|0.4|254|Mortality|61435794|Other|2013
0-14|4.1|4.4|4.3|2619|Incidence|61435794|Other|2013
0-14|0.1|0.2|0.2|101|Mortality|61435794|Soft Tissue|2013
0-14|1.0|1.2|1.1|662|Incidence|61435794|Soft Tissue|2013
0-19|0.2|0.3|0.2|197|Mortality|82797930|Acute Lymphocytic|2013
0-19|3.1|3.3|3.2|2654|Incidence|82797930|Acute Lymphocytic|2013
0-19|0.2|0.3|0.2|186|Mortality|82797930|Acute Myeloid|2013
0-19|0.7|0.8|0.8|633|Incidence|82797930|Acute Myeloid|2013
0-19|2.2|2.4|2.3|1914|Mortality|82797930|All Cancer Sites Combined|2013
0-19|18.2|18.7|18.4|15303|Incidence|82797930|All Cancer Sites Combined|2013
0-19|0.2|0.2|0.2|180|Mortality|82797930|Bones and Joints|2013
0-19|0.9|1.0|0.9|785|Incidence|82797930|Bones and Joints|2013
0-19|0.6|0.7|0.7|556|Mortality|82797930|Brain and Other Nervous System|2013
0-19|3.3|3.6|3.4|2829|Incidence|82797930|Brain and Other Nervous System|2013
0-19|~|~|~|~|Mortality|82797930|Hodgkin Lymphoma|2013
0-19|1.1|1.2|1.2|967|Incidence|82797930|Hodgkin Lymphoma|2013
0-19|0.0|0.1|0.1|46|Mortality|82797930|Kidney and Renal Pelvis|2013
0-19|0.7|0.8|0.7|615|Incidence|82797930|Kidney and Renal Pelvis|2013
0-19|0.6|0.7|0.6|509|Mortality|82797930|Leukemia|2013
0-19|4.3|4.6|4.4|3641|Incidence|82797930|Leukemia|2013
0-19|0.1|0.1|0.1|60|Mortality|82797930|Non-Hodgkin Lymphoma|2013
0-19|1.1|1.2|1.2|968|Incidence|82797930|Non-Hodgkin Lymphoma|2013
0-19|0.4|0.5|0.4|367|Mortality|82797930|Other|2013
0-19|5.4|5.7|5.5|4617|Incidence|82797930|Other|2013
0-19|0.2|0.3|0.2|183|Mortality|82797930|Soft Tissue|2013
0-19|1.0|1.1|1.1|881|Incidence|82797930|Soft Tissue|2013
0-14|0.2|0.3|0.2|141|Mortality|61534687|Acute Lymphocytic|2014
0-14|3.7|4.0|3.9|2372|Incidence|61534687|Acute Lymphocytic|2014
0-14|0.1|0.2|0.2|94|Mortality|61534687|Acute Myeloid|2014
0-14|0.7|0.8|0.7|447|Incidence|61534687|Acute Myeloid|2014
0-14|1.9|2.1|2.0|1225|Mortality|61534687|All Cancer Sites Combined|2014
0-14|17.2|17.9|17.5|10805|Incidence|61534687|All Cancer Sites Combined|2014
0-14|0.1|0.2|0.1|85|Mortality|61534687|Bones and Joints|2014
0-14|0.7|0.9|0.8|494|Incidence|61534687|Bones and Joints|2014
0-14|0.6|0.8|0.7|420|Mortality|61534687|Brain and Other Nervous System|2014
0-14|3.6|3.9|3.8|2324|Incidence|61534687|Brain and Other Nervous System|2014
0-14|~|~|~|~|Mortality|61534687|Hodgkin Lymphoma|2014
0-14|0.5|0.6|0.5|337|Incidence|61534687|Hodgkin Lymphoma|2014
0-14|0.0|0.1|0.0|24|Mortality|61534687|Kidney and Renal Pelvis|2014
0-14|0.9|1.0|0.9|573|Incidence|61534687|Kidney and Renal Pelvis|2014
0-14|0.4|0.5|0.5|296|Mortality|61534687|Leukemia|2014
0-14|4.8|5.1|5.0|3049|Incidence|61534687|Leukemia|2014
0-14|0.0|0.1|0.1|39|Mortality|61534687|Non-Hodgkin Lymphoma|2014
0-14|1.0|1.2|1.1|695|Incidence|61534687|Non-Hodgkin Lymphoma|2014
0-14|0.4|0.5|0.5|285|Mortality|61534687|Other|2014
0-14|4.2|4.5|4.3|2676|Incidence|61534687|Other|2014
0-14|0.1|0.2|0.1|76|Mortality|61534687|Soft Tissue|2014
0-14|1.0|1.2|1.1|657|Incidence|61534687|Soft Tissue|2014
0-19|0.2|0.3|0.2|207|Mortality|82828260|Acute Lymphocytic|2014
0-19|3.2|3.4|3.3|2726|Incidence|82828260|Acute Lymphocytic|2014
0-19|0.2|0.2|0.2|148|Mortality|82828260|Acute Myeloid|2014
0-19|0.7|0.9|0.8|659|Incidence|82828260|Acute Myeloid|2014
0-19|2.1|2.3|2.2|1837|Mortality|82828260|All Cancer Sites Combined|2014
